id,title,genres,averageRating,numVotes,releaseYear
tt3920596,Big Little Lies,"Crime, Drama, Mystery",8.4,231518,2017
tt7221388,Cobra Kai,"Action, Comedy, Drama",8.4,216293,2018
tt9561862,"Love, Death & Robots","Action, Adventure, Animation",8.4,206009,2019
tt0285331,24,"Action, Crime, Drama",8.4,199814,2001
tt10155688,Mare of Easttown,"Crime, Drama, Mystery",8.4,198097,2021
tt9253284,Andor,"Action, Adventure, Drama",8.4,179331,2022
tt0387199,Entourage,"Comedy, Drama",8.4,178871,2004
tt2401256,The Night Of,"Crime, Drama, Mystery",8.4,178068,2016
tt7657124,The Heroes,"Animation, Drama, History",8.4,168740,2008
tt8398600,After Life,"Comedy, Drama",8.4,157682,2019
tt1474684,Luther,"Crime, Drama, Mystery",8.4,157049,2010
tt0409591,Naruto,"Action, Adventure, Animation",8.4,137622,2002
tt2249364,Broadchurch,"Crime, Drama, Mystery",8.4,131314,2013
tt2017109,Banshee,"Action, Crime, Drama",8.4,130897,2013
tt0458290,Star Wars: The Clone Wars,"Action, Adventure, Animation",8.4,126862,2008
tt2149175,The Americans,"Crime, Drama, Mystery",8.4,114859,2013
tt0491738,Psych,"Comedy, Crime, Mystery",8.4,113010,2006
tt0118480,Stargate SG-1,"Action, Adventure, Drama",8.4,103468,1997
tt2788432,American Crime Story,"Biography, Crime, Drama",8.4,100155,2016
tt9059760,Normal People,"Drama, Romance",8.4,99115,2020
tt1220617,The Inbetweeners,Comedy,8.4,96423,2008
tt0060028,Star Trek,"Action, Adventure, Sci-Fi",8.4,95275,1966
tt6473300,Mirzapur,"Action, Crime, Drama",8.4,88124,2018
tt1442462,The Good Wife,"Crime, Drama, Mystery",8.4,84722,2009
